title,address,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,categoryName,cid,city,claimThisBusiness,countryCode,imageUrl,imagesCount,isAdvertisement,location/lat,location/lng,neighborhood,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours,permanentlyClosed,phone,phoneUnformatted,postalCode,rank,reviewsCount,reviewsDistribution/fiveStar,reviewsDistribution/fourStar,reviewsDistribution/oneStar,reviewsDistribution/threeStar,reviewsDistribution/twoStar,state,street,subTitle,totalScore,url,website
Hastmilap Xerox,"Sukhsagar Complex, Shop. 17 Ground Floor, Ashram Rd, Shanti Nagar, Usmanpura, Ahmedabad, Gujarat 380013, India",Print shop,,,,,,,,,,Print shop,1.13E+18,Ahmedabad,TRUE,IN,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqJkBKmzdkKKahBPxNqCcXOLRejbhyydMNVu77pIMVTLskuAutA9KT3gdKuoOXEenLWdGlHR-BKRpPNRpgKDtOqh8JVddwgAig_UAzK-Mg0Zi-Ocb-APEwhQMqClx3FGPyXnKD2oA=w408-h544-k-no,2,FALSE,23.0485827,72.5706363,"Shanti Nagar, Usmanpura",Monday,9 AM to 8:30 PM,Tuesday,9 AM to 8:30 PM,Wednesday,9 AM to 8:30 PM,Thursday,9 AM to 8:30 PM,Friday,9 AM to 8:30 PM,Saturday,9 AM to 8:30 PM,Sunday,Closed,FALSE,,,380013,14,2,,,,,,Gujarat,"Sukhsagar Complex, Shop. 17 Ground Floor, Ashram Rd",હસ્તમિલાપ ઝેરોક્સ,3,https://www.google.com/maps/search/?api=1&query=Hastmilap%20Xerox&query_place_id=ChIJb8AN9SKFXjkRfDS6Ffbqvg8,
VEERTI XEROX AND STATIONERY,"3,G/F, Narnarayan Complex, Navrangpura Rd, near Swastik Char Rasta, Swastik Society, Navrangpura, Ahmedabad, Gujarat 380009, India",Copy shop,Pen store,,,,,,,,,Copy shop,1.17E+19,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/p/AF1QipOqjIf8ipV3-Kk4SZ882QCwbMjyRoq3jy3pvZqV=w408-h306-k-no,45,FALSE,23.0362909,72.5622925,"Swastik Society, Navrangpura",Monday,9:30 AM to 9 PM,Tuesday,9:30 AM to 9 PM,Wednesday,9:30 AM to 9 PM,Thursday,9:30 AM to 9 PM,Friday,9:30 AM to 9 PM,Saturday,9:30 AM to 9 PM,Sunday,10 AM to 4 PM,FALSE,+91 98250 53503,9.20E+11,380009,15,92,,,,,,Gujarat,"3,G/F, Narnarayan Complex, Navrangpura Rd, near Swastik Char Rasta",,4.4,https://www.google.com/maps/search/?api=1&query=VEERTI%20XEROX%20AND%20STATIONERY&query_place_id=ChIJR4ozm_SEXjkRBlRlE86YbaI,
Star Xerox,"22, AUDA Office, Soni Ni Chal, Usmanpura, Ahmedabad, Gujarat 380014, India",Copy shop,Store,,,,,,,,,Copy shop,9.59E+18,Ahmedabad,TRUE,IN,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QkiJyWcE1IJKpfexbIB9xA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=88.910736&pitch=0&thumbfov=100,1,FALSE,23.0455078,72.5705535,"Soni Ni Chal, Usmanpura",,,,,,,,,,,,,,,FALSE,+91 98982 53080,9.20E+11,380014,16,2,,,,,,Gujarat,"22, AUDA Office",,4,https://www.google.com/maps/search/?api=1&query=Star%20Xerox&query_place_id=ChIJ70Mkpe2FXjkRGpuZKi9tDYU,
Vijay Xerox,"National Chamber, Ashram Rd, near City Gold Cinema, Shreyas Colony, Navrangpura, Ahmedabad, Gujarat 380007, India",Copy shop,,,,,,,,,,Copy shop,3.77E+18,Ahmedabad,FALSE,IN,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jAYIcrMI_6GkAxR01SM1rQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=264.7921&pitch=0&thumbfov=100,1,FALSE,23.0378369,72.5690414,"Shreyas Colony, Navrangpura",,,,,,,,,,,,,,,FALSE,+91 79 2657 4506,9.18E+11,380007,17,2,,,,,,Gujarat,"National Chamber, Ashram Rd, near City Gold Cinema",વિજય ઝેરોક્સ,1.5,https://www.google.com/maps/search/?api=1&query=Vijay%20Xerox&query_place_id=ChIJ_9cleXeEXjkRMbXix_6fQzQ,
Harish Duplicators (Rubber Stamp & Xerox Store),"Siddharth Complex, 2-3/A, Ashram Rd, near Dinesh Hall, Shreyas Colony, Navrangpura, Ahmedabad, Gujarat 380009, India",Print shop,Lamination service,Rubber stamp store,,,,,,,,Print shop,1.09E+18,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/p/AF1QipM7GFhbYfv_wttsYv19dMJnSwhTz2Q33vyIX3Gq=w420-h240-k-no,19,FALSE,23.0398643,72.5705957,"Shreyas Colony, Navrangpura",Monday,9:30 AM to 7 PM,Tuesday,9:30 AM to 7 PM,Wednesday,9:30 AM to 7 PM,Thursday,9:30 AM to 7 PM,Friday,9:30 AM to 7 PM,Saturday,9:30 AM to 7 PM,Sunday,Closed,FALSE,+91 99133 70932,9.20E+11,380009,18,10,,,,,,Gujarat,"Siddharth Complex, 2-3/A, Ashram Rd, near Dinesh Hall",,4.6,https://www.google.com/maps/search/?api=1&query=Harish%20Duplicators%20(Rubber%20Stamp%20%26%20Xerox%20Store)&query_place_id=ChIJef_Z51-EXjkR6p9tOXXaJg8,
"Radhe Graphics and Printing, Naranpura, Ahmedabad I Xerox, Offset printer, Visiting Card, Brochure, envelope, flyer printing","FF-5, Char Rasta, Shopping Villa, nr. Super Bazar, Sundar Nagar, Naranpura, Ahmedabad, Gujarat 380013, India",Print shop,Digital printer,Graphic designer,Offset printing service,Screen printer,Sticker manufacturer,,,,,Print shop,5.35E+18,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/p/AF1QipM1VViaaoPyjqRNnQx2Z6f2t0BzHIOULJSsJiJD=w426-h240-k-no,96,FALSE,23.0525735,72.560073,"Sundar Nagar, Naranpura",Monday,10 AM to 8:30 PM,Tuesday,10 AM to 8:30 PM,Wednesday,10 AM to 8:30 PM,Thursday,10 AM to 8:30 PM,Friday,10 AM to 8:30 PM,Saturday,10 AM to 8:30 PM,Sunday,Closed,FALSE,+91 98257 44288,9.20E+11,380013,20,31,,,,,,Gujarat,"FF-5, Char Rasta, Shopping Villa, nr. Super Bazar",રાધે ગ્રાફિક્સ અને પ્રિન્ટિંગ,4.9,https://www.google.com/maps/search/?api=1&query=Radhe%20Graphics%20and%20Printing%2C%20Naranpura%2C%20Ahmedabad%20I%20Xerox%2C%20Offset%20printer%2C%20Visiting%20Card%2C%20Brochure%2C%20envelope%2C%20flyer%20printing&query_place_id=ChIJq6qqqp2EXjkRHQIrP7lYPUo,
Gautam Copy Centre,"10, Harsiddh Chambers, Ashram Rd, near Income Tax, next to Oshwal Restaurant, Usmanpura, Ahmedabad, Gujarat 380014, India",Print shop,Commercial printer,Digital printer,Digital printing service,Lamination service,,,,,,Print shop,1.44E+19,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqD29xHIg3BUSGQWXpNSPXQak2XFCE15TVcWzYgJxKKSFVXmpp7CKnmfqn0pmwH4y8t6S88KpLB-BxFVfNhi_14dNgKQhkIGVqQkqteb8wEw5pb2LDnYEYUCgJ7blzfpr0UOts=w426-h240-k-no,11,FALSE,23.0416067,72.5697619,Usmanpura,Monday,9 AM to 9 PM,Tuesday,9 AM to 9 PM,Wednesday,9 AM to 9 PM,Thursday,9 AM to 9 PM,Friday,9 AM to 9 PM,Saturday,9 AM to 9 PM,Sunday,9 AM to 9 PM,FALSE,,,380014,28,9,6,1,1,1,0,Gujarat,"10, Harsiddh Chambers, Ashram Rd, near Income Tax, next to Oshwal Restaurant",ગૌતમ કૉપિ કેન્દ્ર,4.2,https://www.google.com/maps/search/?api=1&query=Gautam%20Copy%20Centre&query_place_id=ChIJlx53RWCEXjkRTjAcIixMp8c,
Dheeraa Prints - Xerox,"Shop No. 5, Kamdhenu Complex, Commerce Six Rd, opp. Samved Hospital, Swastik Society, Navrangpura, Ahmedabad, Gujarat 380009, India",Copy shop,,,,,,,,,,Copy shop,1.33E+19,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/p/AF1QipNisXQZtZO5v5i5x9SeXfYJzXYXvQVrnSOeTGCb=w408-h306-k-no,17,FALSE,23.0398372,72.5584237,"Swastik Society, Navrangpura",Monday,10:30 AM to 7:30 PM,Tuesday,10:30 AM to 7:30 PM,Wednesday,10:30 AM to 7:30 PM,Thursday,10:30 AM to 7:30 PM,Friday,10:30 AM to 7:30 PM,Saturday,Closed,Sunday,Closed,FALSE,+91 81284 94821,9.18E+11,380009,29,7,6,1,0,0,0,Gujarat,"Shop No. 5, Kamdhenu Complex, Commerce Six Rd, opp. Samved Hospital",,4.9,https://www.google.com/maps/search/?api=1&query=Dheeraa%20Prints%20-%20Xerox&query_place_id=ChIJ6-DAEQmFXjkRIXJ72b9677g,
Girish Xerox And Stationery,"7, nr. Swastik School, opp. Maharshi Complex, Bharat Colony, Sardar Patel Colony, Navjivan, Ahmedabad, Gujarat 380014, India",Copy shop,Stationery store,,,,,,,,,Copy shop,9.46E+18,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/p/AF1QipMzEsjLwnsH3WXR6dUR_Z2UCwLslCouWuTB2xsI=w408-h680-k-no,6,FALSE,23.0471568,72.5630866,"Bharat Colony, Sardar Patel Colony, Navjivan",Monday,8:30 AM to 8:30 PM,Tuesday,8:30 AM to 8:30 PM,Wednesday,8:30 AM to 8:30 PM,Thursday,8:30 AM to 8:30 PM,Friday,8:30 AM to 8:30 PM,Saturday,8:30 AM to 8:30 PM,Sunday,8:30 AM to 1 PM,FALSE,+91 97258 81188,9.20E+11,380014,32,2,2,0,0,0,0,Gujarat,"7, nr. Swastik School, opp. Maharshi Complex",ગિરીશ ઝેરોક્ષ અને સ્ટેશનરી,5,https://www.google.com/maps/search/?api=1&query=Girish%20Xerox%20And%20Stationery&query_place_id=ChIJ24-32IiEXjkREtWUNBY2SYM,
H.P. Xerox,"Vidya Vihar Colony Rd, near Hotel Fortune Landmark, Soni Ni Chal, Usmanpura, Ahmedabad, Gujarat 380014, India",Copy shop,,,,,,,,,,Copy shop,2.83E+18,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npGRIZ9os7Tp2HaKtsCULvzU-oIdP8SX46DEbAV2tP8captgMhzi9tBUEfL1XatGgrG-tJcq2iPKOvd_BbLKp25lQqDXRnpjPFB6DQdKJhsH4uZbmFmhFPqyLVOMuiRHS6hWwzC=w408-h306-k-no,4,FALSE,23.0467594,72.5716817,"Soni Ni Chal, Usmanpura",Monday,9 AM to 8 PM,Tuesday,9 AM to 8 PM,Wednesday,9 AM to 8 PM,Thursday,9 AM to 8 PM,Friday,9 AM to 8 PM,Saturday,9 AM to 8 PM,Sunday,Closed,FALSE,+91 99987 61976,9.20E+11,380014,34,3,0,0,2,1,0,Gujarat,"Vidya Vihar Colony Rd, near Hotel Fortune Landmark",હ.પ. ઝેરોક્સ,1.7,https://www.google.com/maps/search/?api=1&query=H.P.%20Xerox&query_place_id=ChIJW_ZhuGOEXjkRz6oAlRUUNyc,
