title,address,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,categoryName,cid,city,claimThisBusiness,countryCode,imageUrl,imagesCount,isAdvertisement,location/lat,location/lng,neighborhood,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours,permanentlyClosed,phone,phoneUnformatted,postalCode,rank,reviewsCount,reviewsDistribution/fiveStar,reviewsDistribution/fourStar,reviewsDistribution/oneStar,reviewsDistribution/threeStar,reviewsDistribution/twoStar,state,street,subTitle,totalScore,url,website
Prasadi Zerox,"Abjibapa Marg, Jawahar Nagar, Vasna, Ahmedabad, Gujarat 380007, India",Stationery store,,,,,,,,,,Stationery store,1.62E+19,Ahmedabad,TRUE,IN,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EXWqiO8IRdLvwtB6WjAb8g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=200.0969&pitch=0&thumbfov=100,1,FALSE,23.0016367,72.5486004,"Jawahar Nagar, Vasna",Monday,9 AM to 9 PM,Tuesday,9 AM to 9 PM,Wednesday,9 AM to 9 PM,Thursday,9 AM to 9 PM,Friday,9 AM to 9 PM,Saturday,9 AM to 9 PM,Sunday,Closed,FALSE,+91 98242 55388,9.20E+11,380007,8,14,,,,,,Gujarat,Abjibapa Marg,પ્રસાદી ઝેરોક્સ,3.9,https://www.google.com/maps/search/?api=1&query=Prasadi%20Zerox&query_place_id=ChIJxTM5QxeFXjkRQlULHyYO3eA,
Swastik Xerox,"Shop No -1upper, Leval Tempal, Dharnidhar Derasar, Dharnidhar Cross Rd, Dharnidhar Society, Lavanya Society, Vasna, Ahmedabad, Gujarat 380007, India",Print shop,,,,,,,,,,Print shop,9.15E+18,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/p/AF1QipPzWZtNal0bdCazvXlkN5aOx_KJzkGyE_F9vvP5=w408-h544-k-no,39,FALSE,23.0085797,72.5484087,"Dharnidhar Society, Lavanya Society, Vasna",Monday,9 AM to 9 PM,Tuesday,9 AM to 9 PM,Wednesday,9 AM to 9 PM,Thursday,9 AM to 9 PM,Friday,9 AM to 9 PM,Saturday,9 AM to 9 PM,Sunday,9 AM to 5 PM,FALSE,+91 94261 89957,9.19E+11,380007,9,13,,,,,,Gujarat,"Shop No -1upper, Leval Tempal, Dharnidhar Derasar, Dharnidhar Cross Rd",,4.4,https://www.google.com/maps/search/?api=1&query=Swastik%20Xerox&query_place_id=ChIJO21ooQuFXjkRT9MlLq1l-n4,
HAPPY XEROX,"Freniben Desai Marg, Fatehpura Gam, Paldi, Ahmedabad, Gujarat 380007, India",Print shop,,,,,,,,,,Print shop,3.56E+18,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/p/AF1QipNCrx4UZliQW95uX9czZC-NvPLgEiWpxN5lHrk-=w408-h271-k-no,8,FALSE,23.0068289,72.5569966,"Fatehpura Gam, Paldi",Monday,9 AM to 10 PM,Tuesday,9 AM to 10 PM,Wednesday,9 AM to 10 PM,Thursday,9 AM to 10 PM,Friday,9 AM to 10 PM,Saturday,9 AM to 10 PM,Sunday,9 AM to 10 PM,FALSE,,,380007,10,153,,,,,,Gujarat,Freniben Desai Marg,,4.9,https://www.google.com/maps/search/?api=1&query=HAPPY%20XEROX&query_place_id=ChIJt1pQUvGFXjkRZHb7KhouXzE,http://www.happyxerox.in/
Mahavir Xerox,"B 28 Mangaltirth Complex, Dharnidhar Cross Road, opp. Gopi Dairy, Vasna, Ahmedabad, Gujarat 380007, India",Stationery store,Store,,,,,,,,,Stationery store,1.51E+18,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHnzRgHtv9owZg6NfnFw9H2ZxoPYpyIIaGsWnCwZ6eJixUQArxPpXID1fShCP30es78P2UUhXeNrWbYDmiHrCROXbHNV3MM4tqqYN5L5hRIRRDJDoMg2wS_bfCucqmLH2YNL0Zamca9v47xt3BG1oC9au74oSvi3D4GFvvd1nCXsPnFYCsYlLD_Fbfr0QRqyQ2Ufkw=w408-h306-k-no,2,FALSE,23.009593,72.5481835,"Sharda Nagar Society, Vasna",Monday,9 AM to 8:30 PM,Tuesday,9 AM to 8:30 PM,Wednesday,9 AM to 8:30 PM,Thursday,9 AM to 8:30 PM,Friday,9 AM to 8:30 PM,Saturday,9 AM to 8:30 PM,Sunday,Closed,FALSE,+91 97237 62609,9.20E+11,380007,11,11,,,,,,Gujarat,"B 28 Mangaltirth Complex, Dharnidhar Cross Road, opp. Gopi Dairy",મહાવીર ઝેરોક્સ,4.5,https://www.google.com/maps/search/?api=1&query=Mahavir%20Xerox&query_place_id=ChIJwYnQNa2FXjkRlCx69d1V-xQ,
Prasadi Xerox And Stationery Center,"C 2, SHRIJI BAPA COMPLEX, Dharnidhar Society, Lavanya Society, Vasna, Ahmedabad, Gujarat 380007, India",Stationery store,,,,,,,,,,Stationery store,7.90E+18,Ahmedabad,FALSE,IN,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=r5me8Wkr8BsLcC8xtucv6g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=230.04002&pitch=0&thumbfov=100,1,FALSE,23.0086489,72.5484461,"Dharnidhar Society, Lavanya Society, Vasna",,,,,,,,,,,,,,,FALSE,+91 94997 70066,9.20E+11,380007,17,1,,,,,,Gujarat,"C 2, SHRIJI BAPA COMPLEX",,5,https://www.google.com/maps/search/?api=1&query=Prasadi%20Xerox%20And%20Stationery%20Center&query_place_id=ChIJ50AJ36-FXjkRuE6_1sQorW0,
Range Stationery & Xerox,"Shree Sahjanand Plaza, Anjali Cross Road F-19, Freniben Desai Marg, Dungarshinagar, Bhatta, Paldi, Ahmedabad, Gujarat 380007, India",Stationery store,,,,,,,,,,Stationery store,1.96E+18,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npYWfcZV-x71yEpb-3suKG8sTgb47zkfPRiWMI9gVTGoRBqLGEVhRXN0aA-xsyoz8SS6b_ILY7Tyn9dW_0yY5ApV4L3p0MtMQp6iHrObcs_HPkJOAfADl1YCgjJcfWwY2yGSFKD=w408-h544-k-no,4,FALSE,23.0058646,72.5551925,"Dungarshinagar, Bhatta, Paldi",Monday,9 AM to 8 PM,Tuesday,9 AM to 8 PM,Wednesday,9 AM to 8 PM,Thursday,9 AM to 8 PM,Friday,9 AM to 8 PM,Saturday,9 AM to 8 PM,Sunday,Closed,FALSE,,,380007,18,9,,,,,,Gujarat,"Shree Sahjanand Plaza, Anjali Cross Road F-19, Freniben Desai Marg",,3.8,https://www.google.com/maps/search/?api=1&query=Range%20Stationery%20%26%20Xerox&query_place_id=ChIJZ2QF2BqFXjkRotppkJkjJRs,
Sanjay Telecom Xerox,"51, Pankaj Society, Bhatta, Paldi, Ahmedabad, Gujarat 380007, India",Copy shop,,,,,,,,,,Copy shop,8.33E+18,Ahmedabad,TRUE,IN,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqawkLSajkOx1izbm_m3y1f_uEwlbwsGQ6jpq9ir4-r4ToG9Dyy3BgfIJ0e8FGoE1DucEedVVmVm1BygjTU279KCwlhYVSEzMfoEwSzGnaM9x7JYwczpJ_VTaSUFEEYVYINzGx6jA=w425-h240-k-no,5,FALSE,23.0045178,72.5556783,"Pankaj Society, Bhatta, Paldi",Monday,8 AM to 8:30 PM,Tuesday,8 AM to 8:30 PM,Wednesday,8 AM to 8:30 PM,Thursday,8 AM to 8:30 PM,Friday,8 AM to 8:30 PM,Saturday,8 AM to 8:30 PM,Sunday,8 AM to 6 PM,FALSE,+91 94286 01475,9.19E+11,380007,19,9,,,,,,Gujarat,51,સંજય ટેલિકોમ ઝેરોક્સ,4.6,https://www.google.com/maps/search/?api=1&query=Sanjay%20Telecom%20Xerox&query_place_id=ChIJie7ttRqFXjkRVN2eI1O4oXM,
Pooja Xerox,"G.F.- 2, Vijay Complex, Near Vasna Bus Stand, Vasna Rd, Pravinnagar, Vasna, Ahmedabad, Gujarat 380007, India",Copy shop,Lamination service,Payphone,,,,,,,,Copy shop,9.49E+18,Ahmedabad,TRUE,IN,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OKHzjxZ_L73X8Sva5jb8cw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=0.95794755&pitch=0&thumbfov=100,2,FALSE,23.002301,72.549099,"Pravinnagar, Vasna",,,,,,,,,,,,,,,FALSE,+91 96623 66071,9.20E+11,380007,23,18,12,4,1,1,0,Gujarat,"G.F.- 2, Vijay Complex, Near Vasna Bus Stand, Vasna Rd",પૂજા ઝેરોક્ષ,4.4,https://www.google.com/maps/search/?api=1&query=Pooja%20Xerox&query_place_id=ChIJSRuNWBeFXjkRHdY-4aahsYM,
Saloni Enterprise Stationary and Xerox Ro plant Sales & service,"Shop No - 16,G/F Swaminarayan Park 2, NR. Popular Wheelar Service B/H. G.B, shah College, Vasna, Ahmedabad, Gujarat 380007, India",Print shop,Pen store,Water purification company,Water treatment supplier,,,,,,,Print shop,1.17E+19,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqLaNiMSe566nYDPv26lL_VyADAgkSe25RIDMBmnBE94KO54JdiGCu_ijN4r6-JRXDaNm0QrbP93ZwPlZ8So2YFIOl9BS0n4qBiyx4J3ah8MZsUgpasm7FcvcR8i5_KNzqhULS27w=w408-h886-k-no,28,FALSE,22.9927206,72.5431473,Vishala,Monday,9:30 AM to 8 PM,Tuesday,9:30 AM to 8 PM,Wednesday,9:30 AM to 8 PM,Thursday,9:30 AM to 8 PM,Friday,9:30 AM to 8 PM,Saturday,9:30 AM to 8 PM,Sunday,9:30 AM to 8 PM,FALSE,+91 99098 90907,9.20E+11,380007,26,10,9,1,0,0,0,Gujarat,"Shop No - 16,G/F Swaminarayan Park 2, NR. Popular Wheelar Service B/H. G.B, shah College, Vasna",સલોની એન્ટરપ્રાઈઝ સ્ટેશનરી એન્ડ ઝેરોક્સ રો પ્લાન્ટ સેલ્સ & સર્વિસ,4.9,https://www.google.com/maps/search/?api=1&query=Saloni%20Enterprise%20Stationary%20and%20Xerox%20Ro%20plant%20Sales%20%26%20service&query_place_id=ChIJs-0URBiFXjkRgPgOPXZC16I,
Giriraj Copier,"Shop No 8, Sambhavtirth Shopping Centre, Vasna, Ahmedabad, Gujarat 380007, India",Copy shop,Banner store,Income tax help association,Lamination service,Notary public,Passport agent,Passport photo processor,Rubber stamp store,Vinyl sign shop,,Copy shop,2.44E+18,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/p/AF1QipMzeP2ajK2dH4HWmQi449hjoCorZEKKW5imF00O=w408-h306-k-no,14,FALSE,22.9996935,72.5472039,Vasna,Monday,9:30 AM to 8 PM,Tuesday,9:30 AM to 8 PM,Wednesday,9:30 AM to 8 PM,Thursday,9:30 AM to 8 PM,Friday,9:30 AM to 8 PM,Saturday,9:30 AM to 8 PM,Sunday,10:30 AM to 1 PM,FALSE,+91 88666 62269,9.19E+11,380007,27,83,79,0,3,1,0,Gujarat,"Shop No 8, Sambhavtirth Shopping Centre",ગિરિરાજ કોપિયર,4.8,https://www.google.com/maps/search/?api=1&query=Giriraj%20Copier&query_place_id=ChIJ7XX8qReFXjkR6S9AXunz1SE,https://www.facebook.com/girirajcopier/
Rushabh Stationers & Xerox,"Shop No E-1/A, Satva Tower, Fatehpura, Shantivan, Ranna Park, Paldi, Ahmedabad, Gujarat 380007, India",Pen store,Digital printing service,Print shop,Stationery wholesaler,,,,,,,Pen store,1.03E+18,Ahmedabad,FALSE,IN,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XZUC6P_-ZBYSQ1ju5i0EGQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=275.89395&pitch=0&thumbfov=100,2,FALSE,23.0018054,72.561411,"Fatehpura, Shantivan, Ranna Park, Paldi",Monday,9:30 AM to 8:30 PM,Tuesday,9:30 AM to 8:30 PM,Wednesday,9:30 AM to 8:30 PM,Thursday,9:30 AM to 8:30 PM,Friday,9:30 AM to 8:30 PM,Saturday,9:30 AM to 8:30 PM,Sunday,9:30 AM to 1 PM,FALSE,+91 90333 96307,9.19E+11,380007,5,5,,,,,,Gujarat,"Shop No E-1/A, Satva Tower",,5,https://www.google.com/maps/search/?api=1&query=Rushabh%20Stationers%20%26%20Xerox&query_place_id=ChIJmWS9WS2FXjkRhpGrcdI6Tw4,
Prem xerox centre,"New Sharda Mandir Rd, Jain Nagar, Paldi, Ahmedabad, Gujarat 380007, India",Stationery store,Copy shop,Money transfer service,Perfume store,Print shop,,,,,,Stationery store,1.50E+19,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/p/AF1QipPa8nEpwI-Tmv7FXgvsSh7NkJi2DnaTVBTf8yV-=w408-h573-k-no,45,FALSE,23.0130489,72.5567696,"Jain Nagar, Paldi",Monday,9 AM to 7 PM,Tuesday,9 AM to 7 PM,Wednesday,9 AM to 7 PM,Thursday,9 AM to 7 PM,Friday,9 AM to 7 PM,Saturday,9 AM to 7 PM,Sunday,12 to 2 PM,FALSE,,,380007,6,2,,,,,,Gujarat,New Sharda Mandir Rd,,5,https://www.google.com/maps/search/?api=1&query=Prem%20xerox%20centre&query_place_id=ChIJ9a4pTACFXjkRJ4ddVEPibtA,
Ahir Copeirs,"Shop No.11, Nilkanth Plaza, Freniben Desai Marg, Bhatta, Paldi, Ahmedabad, Gujarat 380007, India",Stationery store,Audio visual equipment supplier,Copy shop,Lamination service,,,,,,,Stationery store,1.52E+19,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/p/AF1QipP6X3sE4DT2RpqyLpcI0oNARJxkFYyY7vkmvec=w507-h240-k-no,8,FALSE,23.0061868,72.5560552,"Bhatta, Paldi",Monday,9:30 AM to 8:30 PM,Tuesday,9:30 AM to 8:30 PM,Wednesday,9:30 AM to 8:30 PM,Thursday,9:30 AM to 8:30 PM,Friday,9:30 AM to 8:30 PM,Saturday,9:30 AM to 8:30 PM,Sunday,10 AM to 1 PM,FALSE,+91 79 2662 1901,9.18E+11,380007,8,20,,,,,,Gujarat,"Shop No.11, Nilkanth Plaza, Freniben Desai Marg",અહીર કોપીર્સ,2.6,https://www.google.com/maps/search/?api=1&query=Ahir%20Copeirs&query_place_id=ChIJ7xf91ASFXjkR8GGfP2AjSdM,
Chaitanya Xerox,"2, Hitek Centre, opposite Sanskar Kendra, Paldi, Paldi, Ahmedabad, Gujarat 380007, India",Copy shop,,,,,,,,,,Copy shop,3.99E+18,Ahmedabad,FALSE,IN,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=j4NruUT0MQZoOuVgBiR52Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=192.62479&pitch=0&thumbfov=100,1,FALSE,23.012413,72.568228,"Paldi Gaam, Paldi",Monday,9:30 AM to 8 PM,Tuesday,9:30 AM to 8 PM,Wednesday,9:30 AM to 8 PM,Thursday,9:30 AM to 8 PM,Friday,9:30 AM to 8 PM,Saturday,9:30 AM to 8 PM,Sunday,Closed,FALSE,+91 96875 07001,9.20E+11,380007,12,9,,,,,,Gujarat,"2, Hitek Centre, opposite Sanskar Kendra, Paldi",ચૈતન્ય ઝેરોક્સ,4.2,https://www.google.com/maps/search/?api=1&query=Chaitanya%20Xerox&query_place_id=ChIJ_____wKFXjkRPLyC3_FDYTc,
